Contact ID,Full Name,Email,Title,Phone,Location,Last Engagement Date,Engagement Score,Account ID
40914195,Michael Banks,michael.banks@clark.com,Marketing Manager,544.928.0463x07696,Port Sharihaven,2025-04-05,7.79,266f1336
41075ce8,Jocelyn Douglas,jocelyn.douglas@clark.com,Director of Marketing,001-069-767-1957,Port Jeremyshire,2025-02-26,31.67,266f1336
cd740f15,Carl Watkins,carl.watkins@clark.com,Finance Manager,829.723.7267,Rosefort,2025-04-25,97.36,266f1336
d129ffd1,Jacqueline Bernard,jacqueline.bernard@aguilar-larson.com,Marketing Operations Manager,481-050-2446x013,Powellport,2025-03-05,35.4,a2e45781
1881f2dd,James Soto,james.soto@aguilar-larson.com,IT Support Specialist,664.792.9779x92978,Smithstad,2025-04-13,54.5,a2e45781
3b65aa72,Emily Morgan,emily.morgan@aguilar-larson.com,VP of Marketing,(504)243-8860x02713,Billtown,2025-04-14,5.38,a2e45781
d294688a,Kirk Dawson,kirk.dawson@aguilar-larson.com,VP of Marketing,+1-081-347-1502x42514,Michaelton,2025-03-03,39.67,a2e45781
f185cdfc,Scott Smith,scott.smith@aguilar-larson.com,Head of Demand Gen,001-604-621-0274,Garciaside,2025-04-27,72.06,a2e45781
033e973e,David Leblanc,david.leblanc@aguilar-larson.com,Procurement Specialist,481-248-9110x63081,South Eric,2025-05-04,87.14,a2e45781
fa253c98,Kathryn Rodriguez,kathryn.rodriguez@aguilar-larson.com,CMO,+1-780-969-3027x183,Port Brandon,2025-04-18,79.79,a2e45781
199f6021,James Rodriguez,james.rodriguez@aguilar-larson.com,Customer Success Rep,001-194-614-7772x76397,West Melissa,2025-04-19,7.5,a2e45781
660aba0d,Emily Price,emily.price@aguilar-larson.com,CFO,001-952-779-2232x382,North Dana,2025-04-11,33.37,a2e45781
e93b7a45,Curtis Ramirez,curtis.ramirez@aguilar-larson.com,IT Support Specialist,001-962-961-3467x4901,South Anthony,2025-02-25,4.56,a2e45781
ae37b9df,Timothy Barnes,timothy.barnes@aguilar-larson.com,HR Generalist,866-266-4482,East Evelynshire,2025-02-23,80.94,a2e45781
588f8146,Tammy Lawrence,tammy.lawrence@aguilar-larson.com,RevOps Manager,001-776-628-2021x5245,Philiphaven,2025-02-06,46.65,a2e45781
0fc507f8,Jaime Hansen,jaime.hansen@aguilar-larson.com,Demand Gen Manager,7914905474,Nguyenview,2025-03-05,36.72,a2e45781
b1654347,Linda Mason,linda.mason@aguilar-larson.com,IT Support Specialist,(533)863-8298,Christinafort,2025-02-21,93,a2e45781
5a3f754d,Danny Bradshaw,danny.bradshaw@aguilar-larson.com,RevOps Manager,(554)658-9540x691,Odonnellmouth,2025-04-06,62.55,a2e45781
7dd3c7d8,Nicole Martin,nicole.martin@aguilar-larson.com,IT Support Specialist,(074)384-9220x2934,West Laura,2025-04-29,88.87,a2e45781
d21e5486,Andrew Anderson,andrew.anderson@aguilar-larson.com,Marketing Manager,292.943.0001,Davischester,2025-04-06,19.83,a2e45781
ef1aa3b0,Anthony Robinson,anthony.robinson@aguilar-larson.com,Customer Success Rep,(285)578-8552,Stewartberg,2025-02-27,95.09,a2e45781
6ccd6b83,Theresa Barry,theresa.barry@aguilar-larson.com,Marketing Operations Manager,001-733-231-6832x192,New Markfort,2025-04-18,1.37,a2e45781
1c3dea1e,Thomas Rivera,thomas.rivera@aguilar-larson.com,CMO,(483)800-9356x14816,East Sheryl,2025-04-17,98.93,a2e45781
46eea96e,Cassandra Weber,cassandra.weber@williams-williams.com,Procurement Specialist,(669)847-5727x6085,Martinezport,2025-04-04,81.89,2402171d
9641ae80,Danielle Mcmahon,danielle.mcmahon@williams-williams.com,IT Support Specialist,(514)980-9227,Williamsland,2025-03-23,29.73,2402171d
1c230788,Ashley Buchanan,ashley.buchanan@williams-williams.com,Marketing Manager,001-428-528-5497x01956,North Samuelberg,2025-04-22,93.54,2402171d
fde60fb4,Cynthia Berry,cynthia.berry@williams-williams.com,Demand Gen Manager,(239)419-6581x5538,West Shannonland,2025-04-05,15.56,2402171d
37eea672,Jessica Mejia,jessica.mejia@williams-williams.com,Customer Success Rep,(261)486-8781,South Michelle,2025-02-06,15.09,2402171d
ca5d5a56,Kara Barker,kara.barker@williams-williams.com,Sales Representative,(322)321-6545x8887,Lake Heather,2025-04-16,32.27,2402171d
5819b2ce,Andrew Hunt,andrew.hunt@williams-williams.com,Procurement Specialist,(134)047-4987x029,Marshfort,2025-02-15,81.42,2402171d
4181f80e,Edward Bates,edward.bates@williams-williams.com,CMO,+1-291-801-5684x2660,Lucasstad,2025-02-22,22.47,2402171d
36e719c5,Colleen Gibson,colleen.gibson@williams-williams.com,HR Generalist,(173)395-7737x55712,Sandovalport,2025-03-16,81.17,2402171d
93b7bd4b,Katrina Mueller,katrina.mueller@williams-williams.com,Director of Marketing,(829)934-8418x423,North Mary,2025-02-16,88.02,2402171d
c73c0cea,Christopher Ford,christopher.ford@williams-williams.com,IT Support Specialist,+1-066-530-3683,West Craighaven,2025-04-18,23.82,2402171d
2a744631,Danielle Arnold,danielle.arnold@williams-williams.com,CFO,+1-039-961-3839x29549,Port Anitaburgh,2025-03-29,28.75,2402171d
cbb699a3,Debbie Herrera,debbie.herrera@williams-williams.com,CMO,233.354.7313x7290,Samuelberg,2025-03-13,18.82,2402171d
96d4344d,Jennifer Curry,jennifer.curry@williams-williams.com,Finance Manager,001-521-448-5447x761,Lake Kylestad,2025-02-07,0.3,2402171d
16c3c2b7,Mike Miller,mike.miller@williams-williams.com,Head of Demand Gen,001-813-899-2865x1715,Lake Christineton,2025-02-05,97.41,2402171d
5c5c68fa,Daniel Navarro,daniel.navarro@williams-williams.com,Procurement Specialist,+1-354-179-9076x608,Lucasberg,2025-03-19,31.92,2402171d
c9bf31e0,Jennifer Serrano,jennifer.serrano@williams-williams.com,IT Support Specialist,+1-257-334-9280x607,East Adamfort,2025-04-24,59.53,2402171d
5eac40e1,Matthew Keith,matthew.keith@williams-williams.com,RevOps Manager,(860)585-5899,Lake Darius,2025-05-01,41.82,2402171d
feb80874,Mary Johnson,mary.johnson@zimmerman.biz,Customer Success Rep,+1-258-067-5369,Vernonshire,2025-03-31,36.19,52bb94b0
fb18b283,Paul Ray,paul.ray@zimmerman.biz,Marketing Operations Manager,543-882-5266,Stevenberg,2025-04-28,65.28,52bb94b0
83c52bcc,Courtney Clark,courtney.clark@zimmerman.biz,Software Engineer,001-160-734-8277x8829,Annatown,2025-03-27,68.22,52bb94b0
64c2cae1,Chad Oliver,chad.oliver@zimmerman.biz,CMO,001-247-134-8187x3838,Lake Dylanbury,2025-03-23,71.32,52bb94b0
f4ad8127,Dennis Wolf,dennis.wolf@zimmerman.biz,VP of Marketing,316-502-0118x38510,Lake Williamfort,2025-03-03,43.37,52bb94b0
b210e2f3,Kyle Swanson,kyle.swanson@zimmerman.biz,CFO,001-058-496-0736x822,Michaelfort,2025-04-23,11.67,52bb94b0
3a175426,Scott Davis,scott.davis@zimmerman.biz,Procurement Specialist,(539)562-9318,Whitakerton,2025-03-15,99.99,52bb94b0
cd6772f5,Diane Beard,diane.beard@zimmerman.biz,IT Support Specialist,+1-274-339-2650x9636,Ortizfurt,2025-02-08,15.81,52bb94b0
75162d02,Frank Sanders,frank.sanders@zimmerman.biz,Finance Manager,+1-744-705-8982x965,North Taylorville,2025-02-28,8.74,52bb94b0
afc7cc81,Ashley Arnold,ashley.arnold@zimmerman.biz,Finance Manager,(159)462-4826x5842,West Christopher,2025-04-25,38.9,52bb94b0
29bdd8bc,Caitlin Wise,caitlin.wise@zimmerman.biz,RevOps Manager,471-820-7841x14846,North Jessicashire,2025-02-25,1.12,52bb94b0
48629242,Andrew Herring,andrew.herring@zimmerman.biz,Marketing Manager,7166670968,Port Eric,2025-03-12,27.68,52bb94b0
a9c88a85,Cathy White,cathy.white@zimmerman.biz,HR Generalist,001-692-256-1815,Stacyshire,2025-03-22,74.09,52bb94b0
4e91f6a1,Denise Peterson,denise.peterson@zimmerman.biz,Marketing Operations Manager,140.480.6661,Prattmouth,2025-03-18,42.92,52bb94b0
f8c19222,David Hicks,david.hicks@zimmerman.biz,Procurement Specialist,(561)540-6068x982,New Danielberg,2025-03-01,29.92,52bb94b0
42ad3726,Paul Massey,paul.massey@zimmerman.biz,Finance Manager,3280114428,Port Kevinbury,2025-04-13,30.36,52bb94b0
743db4e8,Rebecca Gardner,rebecca.gardner@zimmerman.biz,Product Manager,632-180-3883x73699,South Ronald,2025-03-17,68.8,52bb94b0
e8278e9a,Karen Johnson,karen.johnson@bender.org,IT Support Specialist,001-345-587-9210x084,Monicahaven,2025-02-14,70.29,05eb364b
91f2e7bb,Denise Park,denise.park@bender.org,CMO,687.334.2588x38102,Rivasburgh,2025-02-26,84.68,05eb364b
1f7904a4,David Stanley,david.stanley@bender.org,Marketing Manager,856.606.5321x114,Sandraside,2025-03-27,23.63,05eb364b
c21d51dc,Gregory Gordon,gregory.gordon@bender.org,Head of Demand Gen,(773)063-7513,Williamborough,2025-02-10,47.46,05eb364b
6b31f390,Jerry Ortiz,jerry.ortiz@bender.org,Procurement Specialist,440-148-0246x51284,South Sarah,2025-05-05,33.15,05eb364b
e68ef19a,Christopher Curry,christopher.curry@bender.org,Sales Representative,260-087-6961,Julialand,2025-04-18,88.92,05eb364b
8afffedb,Peter Thompson,peter.thompson@bender.org,Demand Gen Manager,001-048-196-0134x2519,Lake Sarah,2025-02-28,55.96,05eb364b
df6c9565,Timothy Spencer,timothy.spencer@bender.org,Finance Manager,937.273.0481,Rosestad,2025-02-23,28.2,05eb364b
12adfb2f,Elizabeth Williams,elizabeth.williams@bender.org,Marketing Operations Manager,135-578-4257x297,New Josephbury,2025-05-03,55.22,05eb364b
b92bdfc8,Benjamin Conner,benjamin.conner@bender.org,CMO,(983)321-1306x9967,Stevenbury,2025-03-24,55.53,05eb364b
1d657056,Donald Roberts,donald.roberts@bender.org,Marketing Operations Manager,(234)690-7600,West Duaneville,2025-02-28,87.27,05eb364b
59006c34,Yolanda Rodriguez,yolanda.rodriguez@bender.org,Procurement Specialist,001-727-182-8197x709,Danielchester,2025-02-15,32.18,05eb364b
0fedb54f,Connie Davis,connie.davis@bender.org,VP of Marketing,+1-832-367-8987x631,New Katherine,2025-03-08,94.15,05eb364b
31f19d50,Margaret Pacheco,margaret.pacheco@bender.org,RevOps Manager,621-229-1922x3155,West Jeremy,2025-04-20,6.02,05eb364b
3119f45c,Philip Nelson,philip.nelson@bender.org,Procurement Specialist,797-965-5597x815,East Carlos,2025-02-25,0.76,05eb364b
3ec5bd09,Todd Rogers,todd.rogers@bender.org,Demand Gen Manager,327.108.8545x76030,Michaelview,2025-03-10,69.21,05eb364b
27849589,Sharon Vaughn,sharon.vaughn@bender.org,HR Generalist,(077)484-4127x5430,Frankside,2025-03-02,27.68,05eb364b
34e92c37,Gregory West,gregory.west@bender.org,Marketing Manager,396-874-0223x2852,New Lauren,2025-02-16,74.15,05eb364b
b9403ad5,Adam Thompson,adam.thompson@bender.org,Demand Gen Manager,001-181-329-8438x32575,Danielbury,2025-03-24,0.42,05eb364b
57855a57,Seth Ruiz,seth.ruiz@little-hunt.org,Procurement Specialist,(919)982-5573x653,Sheafort,2025-03-03,55.27,d5bf26cf
5650e829,Dorothy Bernard,dorothy.bernard@little-hunt.org,RevOps Manager,001-657-909-7394,Christineview,2025-04-17,23.34,d5bf26cf
c93a5968,Anthony Warren,anthony.warren@little-hunt.org,HR Generalist,+1-009-563-5290x23932,West Kristiland,2025-03-15,37.34,d5bf26cf
fc06bdde,Christina Gutierrez,christina.gutierrez@little-hunt.org,Procurement Specialist,180-205-6365x155,New Natalie,2025-04-08,14.35,d5bf26cf
cf553dd4,Kevin Ryan,kevin.ryan@little-hunt.org,RevOps Manager,(673)219-7155,Justinville,2025-03-28,75.94,d5bf26cf
d9680f1c,Roger Williams,roger.williams@little-hunt.org,CFO,923.637.8543x1302,Lopezburgh,2025-03-26,21.64,d5bf26cf
30d423e2,Bob Cox,bob.cox@little-hunt.org,HR Generalist,606.611.3489x14885,East Janet,2025-04-12,59.24,d5bf26cf
58107aba,James Burgess,james.burgess@little-hunt.org,Demand Gen Manager,610.038.5789x00296,New Matthewmouth,2025-03-25,68.17,d5bf26cf
033bd90f,Anthony Johnson,anthony.johnson@little-hunt.org,Director of Marketing,895.779.5181,Billymouth,2025-03-07,43.66,d5bf26cf
a4cd902c,Christie Phillips,christie.phillips@little-hunt.org,Finance Manager,785.173.0883x5702,Cameronstad,2025-04-11,26.6,d5bf26cf
a8171ff9,Samuel White,samuel.white@little-hunt.org,VP of Marketing,435-837-0683x43938,New Williamside,2025-02-16,76.62,d5bf26cf
5d42ab28,Roy Villa,roy.villa@little-hunt.org,Marketing Manager,237708583,West Ginaton,2025-03-31,49.05,d5bf26cf
568d7e83,Luis Miller,luis.miller@little-hunt.org,CMO,948-217-7204x67186,South Kyleshire,2025-03-26,38.03,d5bf26cf
a8e85306,Ricky Berry,ricky.berry@little-hunt.org,IT Support Specialist,(026)267-7051x42957,South Hollyshire,2025-03-01,24.81,d5bf26cf
7b0354f7,Brittany Andrews,brittany.andrews@little-hunt.org,Customer Success Rep,+1-116-453-3757x6747,Phillipport,2025-02-26,27.26,d5bf26cf
2283d124,Brandon Ingram,brandon.ingram@little-hunt.org,Sales Representative,(728)762-0930x245,North Jacobchester,2025-04-07,28.89,d5bf26cf
b76dfac2,Travis Soto,travis.soto@little-hunt.org,VP of Marketing,001-732-447-7018x10802,Jasminechester,2025-04-18,53.34,d5bf26cf
c7b22fbe,Amanda Key,amanda.key@little-hunt.org,HR Generalist,869-141-1946x719,New Melvinborough,2025-02-11,92.35,d5bf26cf
871034b1,Anthony Simpson,anthony.simpson@little-hunt.org,Sales Representative,001-875-973-8388,East Jacqueline,2025-05-01,71.02,d5bf26cf
a9680428,Darryl Burgess,darryl.burgess@simpson.com,Director of Marketing,+1-048-075-8355x0180,Feliciahaven,2025-02-12,32.98,c813638c
3ef93d3d,Rachel Fitzpatrick,rachel.fitzpatrick@simpson.com,VP of Marketing,201-907-9563x37628,Port Crystal,2025-04-22,50.85,c813638c
4de7b397,Alex Freeman,alex.freeman@simpson.com,Procurement Specialist,258-687-8571,Port Charlesshire,2025-02-07,9.4,c813638c
1d5e5138,Olivia Francis,olivia.francis@simpson.com,RevOps Manager,(398)087-2641x7246,Davisbury,2025-04-08,23.39,c813638c
32f3d298,Christina Nguyen,christina.nguyen@simpson.com,CFO,001-610-747-3685x22887,Jessicaview,2025-03-29,3.61,c813638c
c1068c43,Tanya Smith,tanya.smith@simpson.com,Marketing Manager,+1-881-111-5021x6895,Flynnview,2025-04-12,66.61,c813638c
541fae35,Eric Barr,eric.barr@simpson.com,Finance Manager,+1-863-906-9451x782,East Daniel,2025-05-02,91.39,c813638c
cd7974cf,Nicole Farmer,nicole.farmer@simpson.com,Product Manager,698.373.4972x288,Maldonadofurt,2025-03-14,63.48,c813638c
119e309e,Alicia Howard,alicia.howard@simpson.com,Finance Manager,(855)673-0385x974,Delgadochester,2025-04-05,37.71,c813638c
e95c79cb,Angela Macias,angela.macias@simpson.com,Demand Gen Manager,(575)970-3322x410,Garciafurt,2025-03-29,50.74,c813638c
774b9ee1,Katie Baker,katie.baker@simpson.com,CMO,(323)227-6712,Port Christopher,2025-02-08,96.52,c813638c
fe733b1e,Crystal Anderson,crystal.anderson@simpson.com,Finance Manager,001-747-384-9015,Bryantshire,2025-03-24,51.53,c813638c
21dd7a1d,Judy Burns,judy.burns@simpson.com,VP of Marketing,671-676-3422,Knightville,2025-04-03,38.27,c813638c
3caaa763,Adam Hunter,adam.hunter@simpson.com,Finance Manager,917.044.3374x45954,Warrenside,2025-02-15,64.27,c813638c
9db7f1dd,Joel Ramos,joel.ramos@simpson.com,VP of Marketing,(159)150-2573x466,New Daniel,2025-03-01,40.06,c813638c
712b5e73,Frank Thomas,frank.thomas@simpson.com,RevOps Manager,(094)644-4946,East Carly,2025-02-15,15.36,c813638c
f94e80cc,Russell Crawford,russell.crawford@simpson.com,Demand Gen Manager,855.531.8570,North Margaretville,2025-03-10,44.24,c813638c
cac8b4cb,Tina Murray,tina.murray@simpson.com,Marketing Manager,4022892291,West Deborahborough,2025-04-07,75.9,c813638c
5d3a62ff,Zachary Martinez,zachary.martinez@simpson.com,IT Support Specialist,600.618.0015x73281,Port Julieville,2025-03-26,81.93,c813638c
11c5c942,Nancy Schaefer,nancy.schaefer@simpson.com,Demand Gen Manager,495.985.5039,New Johntown,2025-02-08,17.74,c813638c
cd41a69d,Erica Weaver,erica.weaver@porter.com,Head of Demand Gen,+1-530-168-4045x79620,South Kathleenfurt,2025-02-21,54.67,55248935
aeac3b6f,Andrew Fernandez,andrew.fernandez@porter.com,IT Support Specialist,573.005.1667x838,South Robert,2025-03-15,26.85,55248935
046f6b3c,Deborah Brown,deborah.brown@porter.com,Finance Manager,709.246.1843x56925,Mclaughlinfort,2025-02-07,71.94,55248935
a8cbbdb6,Lisa Washington,lisa.washington@porter.com,Marketing Manager,7548824053,West Jamie,2025-03-19,48.23,55248935
b39d01c8,Heidi Tucker,heidi.tucker@porter.com,Director of Marketing,(346)380-4200,South Scottchester,2025-04-20,81.59,55248935
da116a71,Walter Leach,walter.leach@porter.com,VP of Marketing,687-763-4232x4850,Lake Kristen,2025-03-20,58.1,55248935
ca750c58,Stephanie Oliver,stephanie.oliver@porter.com,RevOps Manager,+1-311-460-1053x8475,Port Blakeburgh,2025-03-23,10.08,55248935
4fa8ab7c,Andrew Smith,andrew.smith@porter.com,HR Generalist,098.428.9459,Port Andrew,2025-04-23,63.65,55248935
33c34465,Shawn Fox,shawn.fox@porter.com,HR Generalist,+1-554-915-3226x8906,Ramirezstad,2025-05-01,97.67,55248935
1848e363,Kirk Vance,kirk.vance@porter.com,IT Support Specialist,678-076-0522x30980,Higginsport,2025-04-25,15.57,55248935
a5618599,Ronald Lynch,ronald.lynch@porter.com,RevOps Manager,712-794-8773x0741,Antoniostad,2025-02-21,79.39,55248935
fefc1361,Stacy Evans,stacy.evans@porter.com,CMO,536.146.5956x93451,North Amy,2025-04-24,37.12,55248935
137a75fb,Susan Allen,susan.allen@porter.com,Marketing Operations Manager,+1-403-209-8267x62356,Lake Samanthafort,2025-04-01,72.33,55248935
eb982f95,Tracy Webb,tracy.webb@porter.com,Procurement Specialist,+1-438-870-6909x296,Toddside,2025-03-24,44.52,55248935
714ee7da,Kathryn Chang,kathryn.chang@porter.com,Marketing Manager,725.812.0786x9527,South Richardville,2025-03-03,51.4,55248935
bc871acf,Audrey Larson,audrey.larson@porter.com,Marketing Manager,741.654.4010x01713,Lake Jeffreyburgh,2025-03-29,48.21,55248935
f7420d96,Amber Johnson,amber.johnson@porter.com,Product Manager,+1-190-813-5665x9071,Laurashire,2025-04-09,35.54,55248935
faabc36a,William Lopez,william.lopez@porter.com,Customer Success Rep,180-408-0844,Lake Anthonyville,2025-02-20,31.97,55248935
558825bc,Mitchell Clark,mitchell.clark@porter.com,VP of Marketing,+1-455-546-7698x7860,Huertafort,2025-04-22,3.74,55248935
08d5f4de,Bonnie Parker,bonnie.parker@booth.net,IT Support Specialist,(701)360-7302x630,East Andrea,2025-03-02,70.99,4b907b98
d02f5121,Danielle Hayes,danielle.hayes@booth.net,Finance Manager,115.199.7616x886,Port Donald,2025-03-20,22.4,4b907b98
e2c825ad,Michelle Martin,michelle.martin@booth.net,CMO,503-415-9284,Port Jennifer,2025-04-15,91.35,4b907b98
503f2796,Todd Mitchell,todd.mitchell@booth.net,VP of Marketing,+1-453-872-4596x39983,East Jennifer,2025-04-09,91.6,4b907b98
d969e339,Frances Williams,frances.williams@booth.net,Marketing Operations Manager,001-796-217-7618x9435,Fitzgeraldland,2025-03-30,51.83,4b907b98
cce86458,Tyler Rodriguez,tyler.rodriguez@booth.net,Procurement Specialist,994.016.9093,New Lisamouth,2025-03-30,14.41,4b907b98
9d3328ca,Samuel Rios,samuel.rios@booth.net,Procurement Specialist,+1-309-192-2231,Port David,2025-04-02,64.39,4b907b98
ddc62e3e,Amy Johnson,amy.johnson@booth.net,CMO,(062)741-1093x71142,Lake Natasha,2025-05-05,74.74,4b907b98
35cde437,Christine Mora,christine.mora@booth.net,Procurement Specialist,934-867-9668x95776,Patelborough,2025-04-07,36.29,4b907b98
0716b500,Susan Evans,susan.evans@booth.net,Demand Gen Manager,5045500055,Melissaland,2025-02-17,27.34,4b907b98
70fb220f,Christopher Delgado,christopher.delgado@booth.net,CFO,926.968.3170x830,Lake Cindy,2025-04-15,16.26,4b907b98
574e60af,Alexis Lee,alexis.lee@booth.net,Head of Demand Gen,051.654.9986,Samanthaberg,2025-02-15,94.94,4b907b98
9fa4ec6c,Brooke Park,brooke.park@booth.net,Finance Manager,(513)971-6941,South John,2025-04-29,53.32,4b907b98
c4e4fc20,Christopher Herrera,christopher.herrera@booth.net,Product Manager,803-598-1238,Robertsport,2025-03-17,86.87,4b907b98
06c677bc,Kyle Garcia,kyle.garcia@booth.net,Director of Marketing,246-098-5542x358,North Luke,2025-03-16,80.67,4b907b98
63a88baa,Jill Roth,jill.roth@booth.net,Director of Marketing,(189)994-3339,New Matthewhaven,2025-04-07,3.9,4b907b98
af831d57,Jeffery Kirby,jeffery.kirby@booth.net,Finance Manager,821.986.8141x07589,Sarahshire,2025-04-27,18.8,4b907b98
59a203c9,Katherine Wright,katherine.wright@booth.net,CMO,8618844833,Popeland,2025-03-07,89.42,4b907b98
10bb70cb,Ryan Dunn,ryan.dunn@booth.net,RevOps Manager,824.091.2202,North Jessicahaven,2025-03-06,1.98,4b907b98
f5823425,Alisha Washington,alisha.washington@booth.net,RevOps Manager,(247)671-8991,West Samuelside,2025-02-24,67.05,4b907b98
4ec93740,Brandon Levy,brandon.levy@smith.com,HR Generalist,174-643-1984,Bellshire,2025-03-22,96.85,502f01e9
c4908768,Norman Smith,norman.smith@smith.com,Marketing Manager,990-447-4993x33680,Alexanderton,2025-03-08,61.65,502f01e9
9e4b237e,Charles Brown,charles.brown@smith.com,Director of Marketing,(880)225-5813x27121,Mccormickfort,2025-03-08,99.82,502f01e9
d5bef7b4,Juan Smith,juan.smith@smith.com,Software Engineer,001-094-705-8429,Johnsonchester,2025-02-12,53.48,502f01e9
9ce106b6,Judy Cain,judy.cain@smith.com,IT Support Specialist,+1-477-586-6831x390,Lake Daniel,2025-03-12,71.88,502f01e9
e4d839ed,Janet Todd,janet.todd@smith.com,Sales Representative,232.369.1576,Barbaraside,2025-03-05,43.44,502f01e9
774fa464,Joseph Hunter,joseph.hunter@smith.com,VP of Marketing,+1-514-419-5408x71486,Lake Alyssa,2025-04-08,80.49,502f01e9
62b44a98,Adam Lamb,adam.lamb@smith.com,CMO,001-517-054-7607x687,South Matthew,2025-02-11,88.94,502f01e9
384e98cc,Samantha Fuller,samantha.fuller@smith.com,Marketing Operations Manager,001-075-404-4416x3718,Haleside,2025-04-01,90.73,502f01e9
ff980ab3,Paul Humphrey,paul.humphrey@smith.com,Head of Demand Gen,480-921-5341,Jacksonton,2025-04-23,18.67,502f01e9
f3cb0a3b,Richard Blackburn,richard.blackburn@smith.com,Director of Marketing,526892977,South Michaelshire,2025-04-30,26.3,502f01e9
27a363f8,Roy Tapia,roy.tapia@smith.com,CMO,128-478-1773x493,Lake Anthonyside,2025-04-10,55.49,502f01e9
